"rule_id","active","layer","severity","official_spec_basis","owa_policy_basis","implementation_file","test_file","test_coverage","historical_alias_or_status","notes"
"OWA-QUALITY-VERIFIED","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-YAML-PRODUCER-SAFETY","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-REF-GITHUB-URL-MALFORMED","true","references","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/references.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-REF-LINK-BROKEN","true","references","warning","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/references.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Warning by default; warnings-as-errors can promote the exit result."
"OWA-REF-LOCAL-NOT-FILE","true","references","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/references.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-REF-LOCAL-NOT-FOUND","true","references","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/references.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-REF-REMOTE-NOT-FOUND","true","references","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/references.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-REF-RESOURCE-SYNTAX","true","references","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/references.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-REF-SOURCE-RESOURCE-MISSING","true","references","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/references.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-REF-SOURCES-NOT-LIST","true","references","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/references.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-REF-TRAVERSAL","true","references","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/references.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-REF-UNSAFE-LINK","true","references","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/references.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OKF-INDEX-ROOT-MISSING","false","historical","superseded","None; root index is optional under OKF v0.2 §8","Historical Phase 3 matrix only","docs/okf-conformance/PHASE_03_RULE_MATRIX.csv","docs/okf-conformance/PHASE_04_NORMATIVE_RULE_CROSSWALK.csv","Historical correction recorded","Superseded","Never active in the current validator; retained only to make the root-index optionality correction explicit."
